275,BG275,170,
276,BG276,427.5,
277,BG277,95,
278,BG278,450,
279,BG279,19500,
280,BG280,2850,
281,BG281,18500,
282,BG282,2950,
283,BG283,1150,
284,BG284,46.5,
285,BG285,32,
286,BG286,,330
287,BG287,175,
288,BG288,,350
289,BG289,,20
290,BG290,,20
291,BG291,,8
292,BG292,230,
293,BG293,290,
294,BG294,26.6,
295,BG295,36,
296,BG296,420,
297,BG297,150,
298,BG298,340,
299,BG299,2800,
300,BG300,5850,
