Sr. No,Sila Allias Code,16,153,93,98,205,215,216,57,108,217,190,149
1,HKM1,178.81,178.81,,,,,,,,,,
2,HKM2,155.04,155.04,150.55,,,,,,,,,
3,HKM3,,,202.03,,,,,,,,,
4,HKM4,320.35,320.35,311.07,,,,,,,,,
5,HKM5,158.27,158.27,153.68,,,,,,,,,
6,HKM6,112.29,112.29,109.04,,,,,,,,,
7,HKM7,87.06,87.06,84.54,,,,,,,,,
8,HKM8,158.27,158.27,153.68,,,,,,,,,
9,HKM9,894.04,894.04,868.15,806.25,,,,,,,,
10,HKM10,775.19,775.19,752.75,697.5,,,,,,,,
11,HKM11,1040.28,1040.28,1010.15,937.5,,,,,,,,
12,HKM12,1601.74,1601.74,1555.36,1443.75,,,,,,,,
13,HKM13,791.33,791.33,768.42,712.5,,,,,,,,
14,HKM14,561.47,561.47,1090.41,506.25,,,,,,,,
15,HKM15,435.28,435.28,422.68,,,,,,,,,
16,HKM16,791.33,791.33,768.42,712.5,,,,,,,,
17,HKM17,426.97,426.97,404.6,,,,,,,,,
18,HKM18,4588.1,4588.1,4455.23,,,,,,,,,
19,HKM19,1044.19,1044.19,1013.95,,,,,,,,,
20,HKM20,1230.04,1230.04,1194.42,1421.95,,,,,,,,
21,HKM21,1886.77,1886.77,1832.13,1702.5,,,,,,,,
22,HKM22,11786.22,11786.22,11444.92,11175,,,,,,,,
23,HKM23,1213.9,1213.9,1178.75,1095,,,,,,,,
24,HKM24,242.78,242.78,235.75,,,,,,,,,
25,HKM25,1218.3,1218.3,1183.02,1102.5,,,,,,,,
26,HKM26,581.52,581.52,564.68,525,,,,,,,,
27,HKM27,798.67,798.67,775.54,720,,,,,,,,
28,HKM28,1012.4,1012.4,,,,,,,,,,
29,HKM29,,645.1,,,,,,,,,,
30,HKM30,1707.87,1707.87,1658.42,1537,,,,,,,,
31,HKM31,4868.7,4868.7,,,,,,,,,,
32,HKM32,318.76,318.76,,281.25,,,,,,,,
33,HKM33,25,40,20,,,,,,,,,
34,HKM34,1470,,,,,,,,,,,
35,HKM35,556,,,,,,,,,,,
36,HKM36,110,110,135,,,,,,,,,
37,HKM37,,,,,,,,,,4499,,
38,HKM38,,,,,,,,,,3598,,
39,HKM39,,,,,,,,,,1199,,
40,HKM40,,,,,,,,,,315,,
47,HKM47,,114,,,,,,,,,,
48,HKM48,155,,,,,,,,,,,
49,HKM49,114,,,,,,,,,,,
50,HKM50,,99,,,,,,,,,,
51,HKM51,,135,,,,,,,,,,
52,HKM52,,570,,,,,,,,,,
54,HKM54,,675,,,,,,,,,,
